year,conference,Rk,School,G,W,L,W%,,ORtg,DRtg,NRtg,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,SOS,Pace
2018,West Coast,1,Gonzaga,37,10,1,0.865,,118.2,95.8,22.4,30.4,61.1,0.498,8.9,24.1,0.368,0.57,13.9,19.6,0.708,11.2,39.9,15.2,6.3,3.6,11.4,17.1,67.7,18.44,2.6,69.7
2018,West Coast,2,Saint Mary's,36,11,1,0.833,,119.8,100.3,19.5,28.2,54.7,0.515,7.9,19.2,0.41,0.587,12.8,16.6,0.769,8.3,33.7,15.5,4.4,2.6,9.9,15.4,64.5,12.86,0.33,63.6
2018,West Coast,3,BYU,35,7,6,0.686,,108.2,98.7,9.5,26.3,54.4,0.482,6.4,18.5,0.347,0.541,15.3,20.5,0.75,6.9,32.7,15.2,6.4,3.8,11.5,17.0,67.8,8.05,1.53,67.9
2018,West Coast,4,Pacific,32,6,9,0.438,,105.6,107.2,-1.7,25.1,55.7,0.451,4.7,14.3,0.329,0.494,16.3,22.3,0.729,10.4,33.9,12.3,6.2,4.0,11.5,18.2,72.4,-0.55,1.8,67.0
2018,West Coast,5,San Diego,34,8,6,0.588,,103.6,98.3,5.3,23.6,52.2,0.452,8.5,23.4,0.364,0.533,14.5,20.4,0.711,7.4,32.9,14.0,5.5,4.1,13.1,20.6,66.6,2.86,0.5,67.2
2018,West Coast,6,San Francisco,39,4,9,0.564,,101.6,101.4,0.2,24.4,57.8,0.422,8.5,25.3,0.338,0.496,11.5,17.0,0.676,10.1,35.7,13.5,5.4,3.6,11.9,19.1,68.7,1.13,1.63,67.3
2018,West Coast,7,Santa Clara,31,5,5,0.355,,100.7,109.3,-8.6,23.2,54.0,0.429,7.5,22.0,0.34,0.498,12.3,16.9,0.725,7.8,28.6,13.0,5.4,2.4,11.3,17.3,71.7,-7.01,0.61,65.4
2018,West Coast,8,Loyola Marymount,31,3,12,0.355,,105.1,111.8,-6.8,25.9,58.5,0.443,6.5,18.5,0.348,0.498,13.6,19.1,0.71,12.1,32.6,14.2,7.0,2.3,13.1,19.6,76.4,-4.34,1.09,67.8
2018,West Coast,9,Portland,32,3,9,0.313,,100.5,107.3,-6.8,24.4,54.5,0.448,8.0,20.8,0.383,0.521,12.6,18.6,0.678,6.4,31.7,12.1,5.2,4.0,12.0,18.0,74.1,-6.6,2.43,68.5
2018,West Coast,10,Pepperdine,32,0,14,0.188,,104.4,115.1,-10.7,25.7,57.2,0.449,5.8,16.9,0.343,0.5,14.2,20.2,0.701,10.1,33.7,14.0,4.8,2.2,11.8,18.0,78.6,-6.5,1.82,67.8
2019,West Coast,1,Gonzaga,37,9,1,0.892,,122.2,90.4,31.8,31.8,60.5,0.526,7.8,21.4,0.363,0.59,16.3,21.4,0.761,9.6,39.0,18.1,7.5,5.5,10.6,16.3,64.9,27.79,5.01,71.7
2019,West Coast,2,BYU,32,5,8,0.594,,108.5,104.6,3.9,27.4,58.7,0.468,7.1,21.4,0.33,0.528,17.0,23.4,0.727,8.2,34.9,15.1,6.3,3.3,11.1,19.5,76.1,6.15,3.31,71.9
2019,West Coast,3,Saint Mary's,34,5,5,0.647,,112.2,99.6,12.7,26.4,56.0,0.472,7.4,19.7,0.378,0.538,12.1,16.3,0.742,9.7,34.7,10.0,5.9,2.6,10.4,16.8,64.3,12.58,4.4,64.3
2019,West Coast,4,San Francisco,31,6,5,0.677,,112.0,99.8,12.2,27.9,59.7,0.467,8.3,23.5,0.355,0.536,12.0,18.3,0.655,11.0,36.7,14.2,6.1,3.4,10.4,17.5,67.8,8.56,1.13,67.3
2019,West Coast,5,Loyola Marymount,34,8,7,0.647,,102.8,95.9,6.9,24.0,52.9,0.454,4.8,15.0,0.32,0.499,14.1,19.0,0.746,9.2,32.3,13.5,7.4,3.0,12.5,17.7,62.5,2.93,0.9,65.2
2019,West Coast,6,Santa Clara,31,4,6,0.516,,100.0,102.7,-2.7,23.7,53.3,0.445,7.7,21.4,0.36,0.517,13.1,18.3,0.716,7.8,33.1,13.4,4.7,3.6,14.0,19.3,70.1,-1.91,0.92,67.4
2019,West Coast,7,San Diego,36,5,9,0.583,,104.4,98.9,5.5,25.4,55.6,0.457,7.9,22.4,0.351,0.527,13.3,17.8,0.747,8.1,34.4,14.3,5.7,3.1,12.9,18.5,68.2,6.12,3.61,68.0
2019,West Coast,8,Pepperdine,34,2,11,0.471,,106.3,104.5,1.8,25.4,57.3,0.444,9.2,24.1,0.382,0.524,15.6,20.5,0.76,8.5,31.9,14.1,6.7,2.8,12.7,18.8,74.4,0.9,0.63,70.7
2019,West Coast,9,Pacific,32,5,10,0.438,,99.4,104.2,-4.8,22.2,52.5,0.422,6.2,17.7,0.35,0.481,16.3,21.8,0.745,8.9,32.5,10.2,6.2,1.4,13.2,19.7,70.0,-2.46,1.97,66.7
2019,West Coast,10,Portland,32,1,12,0.219,,94.2,108.3,-14.1,22.1,53.4,0.414,6.8,20.8,0.325,0.477,14.0,20.9,0.671,7.3,32.3,11.5,5.5,3.8,13.3,18.4,74.7,-10.8,0.51,68.4
2021,West Coast,1,Gonzaga,32,7,0,0.969,,121.5,93.1,28.4,33.7,61.4,0.549,7.5,20.4,0.368,0.61,16.0,22.0,0.73,9.0,37.2,18.8,7.9,2.8,12.0,16.3,69.7,27.2,5.92,74.6
2021,West Coast,2,BYU,27,7,2,0.741,,109.8,96.4,13.3,28.7,59.6,0.483,8.7,23.4,0.373,0.556,11.9,16.4,0.725,9.4,39.2,16.1,4.6,2.8,13.2,18.0,68.6,15.19,7.23,70.2
2021,West Coast,3,Loyola Marymount,22,4,5,0.591,,101.9,99.7,2.2,23.9,52.1,0.458,6.1,18.2,0.338,0.517,15.6,21.5,0.726,9.8,35.1,12.7,4.7,2.6,16.0,19.0,68.0,5.55,4.05,67.8
2021,West Coast,4,Pepperdine,27,3,5,0.556,,104.5,100.1,4.4,27.6,59.6,0.463,6.9,21.2,0.326,0.521,14.9,18.9,0.785,8.1,35.1,16.3,6.5,3.2,13.1,19.0,73.6,5.65,5.01,72.2
2021,West Coast,5,Pacific,18,3,6,0.5,,99.0,100.2,-1.3,26.6,60.7,0.438,5.2,17.3,0.299,0.481,11.4,16.8,0.679,10.1,34.6,12.9,6.4,3.4,11.9,18.6,70.7,2.64,5.23,69.1
2021,West Coast,6,Saint Mary's,24,2,3,0.583,,97.5,95.1,2.5,23.4,55.5,0.422,6.2,21.0,0.294,0.478,11.3,15.3,0.734,8.5,34.4,10.7,6.0,3.1,11.3,16.7,62.6,8.05,6.43,65.9
2021,West Coast,7,San Francisco,25,4,6,0.44,,102.8,99.7,3.1,25.9,60.6,0.427,10.4,30.5,0.34,0.513,9.3,13.0,0.719,9.0,33.2,11.9,7.2,3.3,11.7,19.3,69.3,6.0,3.84,69.5
2021,West Coast,8,Santa Clara,20,4,3,0.6,,96.6,98.0,-1.3,24.3,56.1,0.434,5.5,18.0,0.306,0.483,15.6,22.8,0.684,8.2,36.5,12.0,4.4,3.9,13.0,17.9,70.6,-0.05,2.16,72.1
2021,West Coast,9,San Diego,14,3,5,0.214,,90.9,105.8,-14.9,25.1,60.5,0.416,5.9,19.3,0.304,0.464,10.1,15.5,0.65,8.0,33.5,13.2,6.7,3.4,13.2,18.0,77.1,-5.22,5.64,72.2
2021,West Coast,10,Portland,21,1,6,0.286,,94.6,113.3,-18.7,23.2,56.5,0.411,7.3,21.5,0.339,0.476,15.7,20.3,0.775,6.6,28.6,11.9,6.3,2.9,13.9,16.2,83.2,-12.58,5.08,73.0
2022,West Coast,1,Gonzaga,32,5,1,0.875,,118.1,89.7,28.4,32.7,62.6,0.521,8.2,22.1,0.37,0.587,13.7,19.2,0.713,9.7,41.9,18.1,6.4,5.8,11.6,15.5,66.2,25.46,4.5,73.8
2022,West Coast,2,Saint Mary's,34,6,4,0.765,,106.5,92.6,13.9,26.1,56.3,0.464,7.2,20.5,0.353,0.528,10.2,13.5,0.758,8.6,33.7,13.5,6.9,2.5,11.2,15.6,60.6,14.82,6.58,65.5
2022,West Coast,3,San Francisco,34,7,2,0.706,,108.7,95.2,13.5,27.8,60.7,0.457,9.6,27.5,0.35,0.537,12.2,17.6,0.694,10.6,37.9,13.0,7.7,4.6,12.8,18.1,67.8,14.12,5.24,70.9
2022,West Coast,4,Santa Clara,33,5,6,0.636,,107.8,100.4,7.5,28.8,59.4,0.484,7.2,19.1,0.378,0.545,12.5,16.4,0.762,7.5,35.5,15.1,6.0,3.8,11.5,15.0,71.9,8.98,3.61,71.4
2022,West Coast,5,BYU,35,6,5,0.686,,106.7,98.2,8.5,27.4,60.0,0.457,8.0,22.7,0.353,0.524,11.4,15.9,0.718,10.7,39.3,14.7,4.8,3.2,12.6,17.7,68.3,10.05,5.23,69.1
2022,West Coast,6,Portland,34,6,9,0.559,,102.7,99.9,2.8,25.2,57.7,0.437,7.8,22.2,0.35,0.504,16.0,20.2,0.791,8.2,36.2,14.3,5.1,2.5,13.2,16.4,72.2,-1.71,-1.11,72.0
2022,West Coast,7,San Diego,31,5,8,0.484,,96.9,99.0,-2.1,24.8,58.0,0.428,5.5,16.4,0.335,0.476,10.7,14.9,0.715,9.6,35.9,9.9,5.1,3.7,12.5,15.9,67.3,-3.32,1.48,67.4
2022,West Coast,8,Loyola Marymount,29,3,9,0.379,,101.8,108.8,-7.0,24.8,54.5,0.454,7.2,21.0,0.345,0.521,12.6,17.4,0.719,7.9,29.7,11.1,5.4,1.7,13.3,17.8,74.1,-1.93,3.25,67.5
2022,West Coast,9,Pacific,30,0,13,0.267,,94.3,104.2,-9.8,23.7,57.0,0.415,6.1,19.1,0.318,0.468,12.5,18.2,0.686,8.1,32.8,11.4,6.4,2.6,12.3,16.5,72.7,-8.02,0.41,69.5
2022,West Coast,10,Pepperdine,32,0,13,0.219,,94.4,107.2,-12.8,25.3,60.5,0.418,7.3,21.3,0.34,0.478,10.3,14.4,0.718,9.9,34.5,14.8,5.7,2.3,14.7,17.9,77.5,-7.04,3.42,71.7
2023,West Coast,1,Gonzaga,37,7,2,0.838,,119.5,101.8,17.7,32.1,61.7,0.521,7.5,19.9,0.379,0.582,14.4,20.8,0.693,10.4,37.2,16.3,7.2,3.4,10.7,16.6,73.4,18.99,8.04,71.9
2023,West Coast,2,Saint Mary's,35,6,2,0.771,,109.6,93.3,16.3,25.4,55.8,0.455,7.5,20.6,0.365,0.522,12.4,17.9,0.694,10.6,35.3,12.5,6.8,3.5,10.7,16.5,60.1,17.41,7.18,63.8
2023,West Coast,3,Santa Clara,33,6,3,0.697,,106.8,101.5,5.3,27.8,61.4,0.454,8.3,22.5,0.371,0.521,12.9,18.3,0.704,10.6,38.2,13.9,5.9,3.8,12.5,15.7,73.1,8.55,5.05,71.2
2023,West Coast,4,Loyola Marymount,31,4,7,0.613,,107.6,104.4,3.2,26.8,59.1,0.454,9.3,25.5,0.365,0.533,12.3,18.4,0.671,10.6,36.1,11.8,5.5,2.8,12.8,19.4,73.1,4.98,4.32,69.1
2023,West Coast,5,BYU,34,2,7,0.559,,106.1,98.2,7.9,26.9,59.1,0.455,8.1,23.9,0.34,0.523,13.7,19.1,0.717,11.0,37.4,14.7,7.4,4.0,14.1,19.4,69.9,9.43,5.4,70.9
2023,West Coast,6,Pacific,33,7,7,0.455,,106.3,109.0,-2.7,26.3,58.2,0.452,9.0,23.1,0.39,0.529,14.2,19.7,0.72,8.1,31.6,12.7,5.4,2.6,11.8,19.0,77.7,-0.56,2.05,70.8
2023,West Coast,7,San Francisco,34,5,6,0.588,,107.4,103.5,3.9,26.0,58.1,0.447,10.3,28.4,0.361,0.535,14.0,18.7,0.75,9.6,34.5,12.8,6.8,2.5,13.8,18.5,73.4,6.0,3.63,70.4
2023,West Coast,8,Portland,33,2,10,0.424,,108.5,109.7,-1.2,25.3,55.7,0.455,9.6,25.6,0.375,0.541,17.5,23.5,0.745,8.1,32.8,14.8,5.0,2.3,12.7,17.5,78.6,1.68,4.13,71.1
2023,West Coast,9,San Diego,31,3,8,0.355,,108.6,113.4,-4.7,27.4,60.7,0.451,7.9,22.3,0.353,0.516,14.5,18.9,0.765,10.1,33.1,12.8,6.7,1.8,11.5,17.6,80.5,-2.06,3.28,70.4
2023,West Coast,10,Pepperdine,31,0,12,0.29,,103.8,108.2,-4.4,29.0,62.3,0.465,8.2,22.5,0.362,0.531,11.9,16.7,0.71,9.2,35.8,15.1,5.4,3.8,14.1,17.7,81.3,-0.12,4.71,73.9
2024,West Coast,1,Saint Mary's,34,9,0,0.765,,115.2,92.2,23.0,27.5,59.0,0.466,7.6,21.6,0.352,0.531,11.4,16.8,0.676,13.2,39.6,16.2,6.6,3.8,10.2,16.4,59.2,16.31,3.46,63.8
2024,West Coast,2,Gonzaga,35,8,2,0.771,,121.1,99.1,22.1,32.0,61.8,0.518,6.9,19.3,0.361,0.574,13.6,18.9,0.721,10.8,38.7,16.7,6.7,3.9,9.8,15.6,69.1,17.93,4.02,69.8
2024,West Coast,3,San Francisco,34,6,6,0.676,,112.7,96.5,16.3,29.3,60.1,0.487,8.6,24.3,0.355,0.558,10.6,14.0,0.755,9.4,34.1,16.3,8.2,3.4,11.5,18.3,66.5,9.68,0.23,68.5
2024,West Coast,4,Santa Clara,33,5,6,0.606,,109.8,103.1,6.7,27.6,60.1,0.46,8.2,23.2,0.354,0.528,13.4,18.8,0.715,12.0,39.3,15.1,4.8,2.7,12.8,17.7,72.2,5.39,1.73,69.8
2024,West Coast,5,San Diego,33,4,7,0.545,,100.7,107.4,-6.7,25.7,59.9,0.429,7.1,20.5,0.344,0.488,14.0,19.2,0.728,10.0,34.2,13.1,7.2,3.8,13.2,19.0,77.3,-5.31,0.33,72.0
2024,West Coast,6,Loyola Marymount,31,3,7,0.387,,109.0,107.6,1.5,25.9,57.8,0.448,8.4,22.9,0.368,0.521,12.2,16.7,0.73,9.9,34.9,11.9,3.7,2.6,10.7,16.3,71.4,-0.06,0.31,66.4
2024,West Coast,7,Pepperdine,33,3,8,0.394,,106.4,108.2,-1.8,26.3,58.3,0.451,6.8,18.9,0.361,0.51,13.4,19.0,0.704,10.1,33.8,13.3,5.1,2.7,11.2,16.3,74.0,-2.14,0.7,68.4
2024,West Coast,8,Portland,33,2,11,0.364,,103.3,114.7,-11.5,25.0,57.3,0.437,8.8,25.5,0.347,0.514,12.6,17.6,0.716,8.4,33.7,13.5,4.1,2.2,11.9,14.8,79.5,-8.2,1.54,69.0
2024,West Coast,9,Pacific,32,1,13,0.188,,92.7,114.3,-21.6,22.7,55.1,0.411,6.3,20.1,0.316,0.469,13.1,20.3,0.643,6.5,27.3,13.2,6.1,2.0,11.8,17.2,79.8,-17.42,-0.15,69.3
2025,West Coast,1,Saint Mary's,35,9,1,0.829,,113.6,95.2,18.4,26.9,59.7,0.45,6.4,19.9,0.319,0.504,12.8,18.4,0.695,14.0,39.7,15.1,6.1,4.0,9.7,14.9,61.1,17.43,6.46,63.7
2025,West Coast,2,Gonzaga,35,8,2,0.743,,121.5,98.3,23.2,31.7,63.2,0.501,7.5,21.2,0.354,0.56,15.6,19.4,0.804,11.0,38.3,19.7,7.5,3.0,9.5,16.8,69.9,23.75,7.27,70.4
2025,West Coast,3,San Francisco,35,5,5,0.714,,109.7,99.8,9.9,26.5,58.5,0.454,8.6,25.5,0.339,0.528,14.3,20.1,0.711,10.4,35.6,13.9,6.6,3.3,11.7,18.8,69.1,10.46,3.87,69.0
2025,West Coast,4,Santa Clara,34,6,5,0.618,,115.7,103.0,12.7,29.1,61.7,0.472,10.9,28.6,0.382,0.56,12.8,17.6,0.727,11.3,37.9,17.3,6.5,3.0,11.9,16.4,73.0,13.22,4.25,70.1
2025,West Coast,5,Oregon State,33,3,7,0.606,,115.8,104.8,11.0,26.4,54.7,0.483,7.0,19.4,0.363,0.548,16.4,20.8,0.786,9.5,33.7,14.5,6.5,3.1,11.0,15.8,69.0,8.62,2.24,65.1
2025,West Coast,6,Loyola Marymount,32,3,8,0.531,,103.6,104.1,-0.5,25.7,58.4,0.44,7.9,23.6,0.334,0.507,12.0,16.6,0.724,7.8,33.4,13.2,5.8,3.9,10.4,16.5,71.6,1.2,2.94,68.7
2025,West Coast,7,Washington State,34,4,7,0.559,,109.8,109.3,0.5,28.5,58.0,0.491,8.7,23.9,0.362,0.566,13.3,19.0,0.701,9.9,34.2,16.9,6.4,4.9,14.6,19.0,78.6,4.67,4.32,71.6
2025,West Coast,8,Portland,32,3,9,0.375,,103.4,114.0,-10.6,25.2,57.6,0.437,8.5,24.6,0.345,0.511,14.1,18.2,0.777,8.3,33.8,15.5,4.7,3.1,12.8,15.2,80.4,-7.29,2.17,69.5
2025,West Coast,9,Pacific,33,2,13,0.273,,101.3,110.3,-9.0,24.8,57.1,0.435,6.4,21.4,0.3,0.491,13.5,18.6,0.725,10.4,35.0,12.8,5.7,2.8,13.1,18.5,75.8,-7.11,2.09,68.2
2025,West Coast,10,Pepperdine,35,2,11,0.371,,105.3,110.2,-5.0,26.4,59.4,0.444,7.0,20.6,0.341,0.503,13.4,18.7,0.716,10.0,35.0,15.9,6.1,2.7,11.0,15.7,76.6,-2.82,2.56,69.5
2025,West Coast,11,San Diego,33,0,12,0.182,,98.0,111.3,-13.3,24.8,61.1,0.407,6.4,21.8,0.293,0.459,14.0,18.7,0.752,11.5,34.3,11.4,7.4,3.6,13.3,21.0,79.7,-8.37,1.63,71.6
2015,SEC,1,Kentucky,39,10,0,0.974,,115.5,84.4,31.2,25.8,55.1,0.468,5.2,14.9,0.349,0.515,17.6,24.2,0.726,12.6,38.0,14.2,6.5,6.9,10.5,17.1,54.3,28.72,8.67,63.8
2015,SEC,2,Arkansas,36,7,5,0.75,,109.6,99.3,10.3,27.2,61.0,0.445,6.6,18.9,0.349,0.5,16.5,22.8,0.724,13.1,35.8,16.1,7.7,4.7,11.9,19.0,70.1,14.07,6.79,70.1
2015,SEC,3,Georgia,33,8,4,0.636,,102.8,97.0,5.8,22.6,52.4,0.432,5.6,16.3,0.342,0.485,17.3,25.0,0.692,10.9,38.2,12.5,5.5,4.6,12.7,18.4,64.4,12.42,8.6,64.8
2015,SEC,4,LSU,33,8,3,0.667,,103.1,95.0,8.1,27.0,59.5,0.455,5.7,16.9,0.339,0.503,13.6,19.9,0.684,12.2,39.2,15.6,7.3,6.2,14.4,15.6,67.7,11.39,5.63,69.6
2015,SEC,5,Ole Miss,34,8,4,0.618,,107.9,101.4,6.5,24.9,58.9,0.423,6.5,19.5,0.332,0.478,16.4,21.3,0.773,12.6,37.8,13.2,6.6,3.8,11.1,19.6,68.4,11.39,7.01,67.0
2015,SEC,6,Texas A&M,33,5,6,0.636,,104.6,97.1,7.4,24.4,53.9,0.453,5.5,15.8,0.347,0.504,13.5,20.5,0.658,11.3,36.3,14.7,5.6,2.9,12.4,18.0,62.9,10.73,5.91,64.3
2015,SEC,7,Vanderbilt,35,5,8,0.6,,109.8,100.0,9.8,23.9,50.7,0.472,7.3,18.6,0.392,0.544,15.5,21.8,0.708,9.7,33.8,15.5,4.8,5.3,12.9,17.2,64.3,11.89,6.22,63.5
2015,SEC,8,Alabama,34,4,8,0.559,,105.4,100.8,4.6,22.4,50.7,0.441,6.5,20.5,0.317,0.505,15.9,22.1,0.717,9.6,33.0,10.3,6.4,3.7,12.0,19.2,64.1,10.52,8.09,63.1
2015,SEC,9,Florida,33,2,9,0.485,,100.6,94.9,5.7,23.2,53.4,0.434,6.6,20.4,0.323,0.496,10.6,16.8,0.635,10.5,33.2,13.1,6.9,3.6,12.4,16.9,60.1,13.27,9.67,62.8
2015,SEC,10,Tennessee,32,5,5,0.5,,103.0,104.5,-1.5,22.7,53.3,0.425,6.1,18.3,0.331,0.482,11.9,17.2,0.691,12.4,32.5,10.9,7.7,3.4,12.1,19.5,64.2,7.23,8.16,61.2
2015,SEC,11,Mississippi State,32,3,8,0.406,,96.4,99.1,-2.7,20.9,48.7,0.43,4.2,13.6,0.306,0.472,15.8,22.7,0.696,10.1,34.3,8.7,6.4,2.8,14.8,18.9,63.5,2.53,4.72,64.1
2015,SEC,12,South Carolina,33,3,7,0.515,,99.6,94.9,4.6,22.3,55.1,0.404,5.5,18.2,0.301,0.454,15.0,20.4,0.737,12.3,35.7,13.2,6.3,4.0,12.8,19.2,62.0,10.55,8.24,65.3
2015,SEC,13,Auburn,35,2,10,0.429,,99.1,105.1,-6.0,21.7,53.7,0.404,7.2,20.8,0.347,0.471,17.3,26.0,0.666,10.2,31.5,10.7,6.8,2.5,12.9,20.2,72.1,3.27,8.15,67.9
2015,SEC,14,Missouri,32,1,10,0.281,,94.7,106.3,-11.6,21.3,52.9,0.403,6.1,18.6,0.329,0.461,11.7,17.5,0.666,10.2,32.8,10.7,5.6,2.8,13.0,19.5,67.9,1.13,9.26,63.4
2016,SEC,1,Kentucky,36,4,7,0.75,,115.6,99.0,16.6,28.6,59.7,0.478,6.8,18.5,0.366,0.535,15.6,22.6,0.69,12.8,38.8,14.2,5.7,5.8,10.8,20.4,68.1,20.23,8.84,68.1
2016,SEC,2,Texas A&M,37,5,5,0.757,,109.9,95.6,14.4,26.8,59.7,0.449,7.6,22.3,0.341,0.512,15.3,22.7,0.672,12.9,39.5,16.5,7.0,3.6,11.7,18.1,66.4,18.45,8.45,68.6
2016,SEC,3,LSU,33,3,8,0.576,,107.3,104.9,2.4,27.7,60.3,0.46,6.2,18.8,0.327,0.511,17.2,25.9,0.665,11.2,37.3,15.4,8.0,2.7,11.9,18.5,77.1,8.79,7.0,72.9
2016,SEC,4,South Carolina,34,5,5,0.735,,105.6,96.3,9.2,25.9,60.0,0.432,6.4,18.1,0.352,0.485,17.7,26.0,0.683,13.9,40.4,13.6,6.8,4.4,13.6,19.8,69.3,12.01,5.83,71.4
2016,SEC,5,Vanderbilt,33,3,9,0.576,,109.0,96.8,12.2,26.0,56.9,0.456,8.3,21.6,0.382,0.529,15.7,22.6,0.695,9.5,38.6,14.8,4.2,5.5,11.7,19.2,67.4,17.2,8.68,69.2
2016,SEC,6,Georgia,34,3,9,0.588,,102.8,101.4,1.4,23.5,55.6,0.422,6.5,17.6,0.368,0.48,17.1,24.2,0.708,11.6,38.8,12.5,4.8,5.1,13.2,20.7,69.7,9.41,8.47,68.2
2016,SEC,7,Ole Miss,32,7,7,0.625,,106.5,102.1,4.4,24.9,59.9,0.415,7.9,23.3,0.338,0.481,17.5,24.7,0.709,13.3,38.4,12.9,7.6,3.1,12.1,19.8,72.1,7.91,4.81,70.0
2016,SEC,8,Arkansas,32,3,8,0.5,,107.5,102.7,4.8,27.6,62.3,0.443,6.8,17.0,0.397,0.497,16.2,23.4,0.694,11.7,37.1,16.2,7.3,5.2,11.2,21.5,74.7,10.23,6.76,71.3
2016,SEC,9,Florida,36,6,9,0.583,,105.7,97.9,7.8,25.8,60.7,0.425,7.2,22.5,0.319,0.484,15.5,24.0,0.648,13.1,39.9,13.3,6.5,4.2,11.3,19.4,68.9,14.69,9.19,70.1
2016,SEC,10,Alabama,33,5,8,0.545,,99.7,102.0,-2.2,22.4,53.0,0.422,7.8,23.1,0.339,0.496,13.9,21.6,0.643,9.9,34.6,10.5,5.8,5.3,13.3,19.1,67.9,7.14,8.62,66.1
2016,SEC,11,Mississippi State,31,2,9,0.452,,106.4,103.3,3.1,27.4,60.1,0.456,7.3,21.7,0.334,0.517,12.8,17.7,0.725,10.5,35.4,13.9,6.5,4.3,12.7,19.2,72.8,8.18,6.02,70.2
2016,SEC,12,Tennessee,34,1,11,0.441,,105.9,106.0,-0.1,26.2,62.2,0.421,7.4,22.6,0.327,0.48,15.4,21.2,0.725,12.6,38.0,13.5,5.3,4.6,11.2,19.5,75.2,7.8,7.86,70.9
2016,SEC,13,Auburn,31,2,11,0.355,,97.1,107.3,-10.1,23.4,58.7,0.398,8.8,25.8,0.34,0.473,15.2,24.1,0.633,11.2,36.6,11.4,5.4,4.1,13.8,21.2,78.1,0.15,7.54,72.5
2016,SEC,14,Missouri,31,0,11,0.323,,99.0,105.3,-6.3,23.6,56.0,0.422,5.6,18.2,0.31,0.472,15.7,22.2,0.708,9.5,35.8,11.7,5.5,2.6,12.5,20.5,73.0,2.5,6.88,69.3
2017,SEC,1,Kentucky,38,7,3,0.842,,113.8,95.9,18.0,29.8,63.1,0.473,7.0,19.9,0.353,0.529,18.2,25.8,0.704,12.4,39.8,15.4,6.0,5.3,11.7,18.8,71.5,23.88,10.49,74.3
2017,SEC,2,Florida,36,8,4,0.75,,110.0,93.9,16.1,26.5,58.8,0.45,7.7,21.6,0.358,0.516,17.2,23.6,0.729,11.6,37.0,12.5,7.6,4.6,12.0,18.4,66.5,22.4,11.01,70.1
2017,SEC,3,Arkansas,36,6,5,0.722,,110.7,103.1,7.6,27.7,60.1,0.461,6.5,17.7,0.365,0.514,17.4,22.9,0.761,11.1,36.1,13.8,7.7,4.7,11.9,20.5,73.9,14.04,8.6,71.7
2017,SEC,4,South Carolina,37,6,5,0.703,,102.9,91.8,11.1,25.0,59.4,0.421,6.7,19.8,0.338,0.477,16.5,23.6,0.699,12.5,36.4,12.6,7.8,3.8,13.0,20.3,65.2,17.52,10.16,69.9
2017,SEC,5,Alabama,34,5,6,0.559,,100.2,94.6,5.6,23.8,56.1,0.424,6.6,20.9,0.317,0.483,14.3,21.9,0.653,12.3,39.0,11.5,5.9,4.1,13.9,19.5,64.7,11.29,7.47,67.4
2017,SEC,6,Ole Miss,36,6,6,0.611,,105.5,103.2,2.3,25.4,60.1,0.423,7.9,22.6,0.347,0.488,19.3,25.7,0.752,12.7,39.5,12.9,6.8,4.1,14.3,19.5,76.3,9.65,7.99,73.4
2017,SEC,7,Vanderbilt,35,5,6,0.543,,105.5,101.1,4.4,23.3,54.2,0.43,9.9,26.3,0.376,0.521,14.7,18.9,0.777,8.2,34.5,12.9,4.2,3.8,12.3,16.6,68.1,13.69,10.72,67.1
2017,SEC,8,Georgia,34,5,7,0.559,,102.0,100.2,1.8,24.6,56.0,0.439,5.1,15.8,0.325,0.485,17.3,22.9,0.757,9.7,37.0,12.6,5.4,3.7,13.1,18.6,70.4,11.13,10.28,69.7
2017,SEC,9,Tennessee,32,4,7,0.5,,103.7,101.6,2.1,25.1,59.5,0.422,5.9,18.1,0.326,0.472,18.4,25.2,0.729,12.1,37.7,13.8,5.5,4.6,12.5,20.9,73.0,11.28,10.18,71.5
2017,SEC,10,Texas A&M,31,3,7,0.516,,105.1,101.5,3.6,25.9,56.6,0.458,6.1,18.5,0.329,0.512,12.2,18.8,0.649,12.9,38.5,15.8,6.0,5.6,14.2,16.5,67.8,10.36,7.97,66.8
2017,SEC,11,Auburn,32,6,6,0.563,,106.1,105.0,1.1,26.9,61.5,0.437,9.0,24.7,0.366,0.511,17.6,26.1,0.672,11.5,36.6,13.0,7.3,5.1,13.6,20.9,79.6,8.17,7.33,75.2
2017,SEC,12,Mississippi State,32,2,8,0.5,,102.0,100.3,1.7,25.7,57.8,0.444,7.7,22.2,0.347,0.511,13.5,19.6,0.687,9.7,35.3,12.1,7.5,4.1,13.5,19.9,71.3,7.12,5.9,70.8
2017,SEC,13,LSU,31,1,10,0.323,,102.2,113.4,-11.2,27.5,61.1,0.451,6.3,18.8,0.336,0.502,13.5,19.3,0.696,11.5,36.0,12.8,6.0,3.5,14.5,19.1,83.0,0.53,8.69,73.2
2017,SEC,14,Missouri,32,0,9,0.25,,97.4,102.7,-5.3,23.3,59.2,0.393,7.0,23.1,0.304,0.452,15.6,22.9,0.683,11.2,36.5,12.1,6.3,2.1,12.0,20.2,72.9,2.98,6.73,70.5
