year,conference,Rk,School,G,W,L,W%,,ORtg,DRtg,NRtg,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,SOS,Pace
2022,Big Ten,5,Ohio State,32,5,6,0.625,,110.9,103.2,7.8,25.6,54.4,0.471,7.8,21.5,0.365,0.543,13.8,18.2,0.757,9.0,34.6,12.5,4.5,4.8,11.2,16.4,67.7,14.17,9.08,65.1
2022,Big Ten,6,Rutgers,32,4,9,0.563,,102.9,99.9,3.0,25.8,58.0,0.445,6.2,18.3,0.339,0.499,10.7,15.2,0.7,10.2,35.7,15.2,7.0,4.0,11.5,15.8,66.5,8.78,6.81,65.5
2022,Big Ten,7,Michigan,34,5,7,0.559,,107.7,102.9,4.8,26.9,57.6,0.467,6.3,18.5,0.339,0.521,12.6,16.9,0.746,9.9,35.7,14.1,4.7,3.3,11.6,15.2,69.4,14.26,11.02,67.5
2022,Big Ten,8,Michigan State,36,5,6,0.639,,106.4,101.7,4.7,26.1,57.2,0.456,7.3,19.3,0.378,0.52,12.8,17.1,0.75,10.1,36.9,15.7,5.7,5.0,12.8,16.9,69.0,13.18,9.96,67.9
2022,Big Ten,9,Indiana,35,3,8,0.6,,103.2,96.5,6.7,25.8,56.8,0.454,5.9,17.7,0.333,0.506,13.3,19.0,0.7,9.1,36.1,14.6,5.6,4.8,11.8,17.4,66.2,12.71,8.08,67.9
2022,Big Ten,10,Maryland,32,3,7,0.469,,104.4,104.1,0.3,24.7,57.0,0.433,6.9,21.2,0.326,0.494,14.7,19.3,0.759,9.5,35.2,11.6,6.4,3.2,11.4,15.2,70.7,9.34,9.12,67.4
2022,Big Ten,11,Northwestern,31,3,8,0.484,,104.4,100.0,4.3,26.6,62.2,0.427,8.4,24.1,0.347,0.495,11.5,15.9,0.719,9.5,35.5,15.8,6.5,3.5,9.8,17.6,69.9,8.91,7.11,68.8
2022,Big Ten,12,Penn State,31,1,10,0.452,,101.6,102.3,-0.6,23.9,55.2,0.432,8.0,23.5,0.342,0.505,8.8,12.0,0.735,9.3,35.3,11.9,5.3,2.2,11.8,15.4,65.0,8.72,9.1,62.8
2022,Big Ten,13,Minnesota,30,3,9,0.433,,101.5,104.9,-3.3,24.8,56.6,0.438,7.8,21.2,0.368,0.507,9.6,13.4,0.718,6.0,30.7,12.6,5.3,2.8,9.2,14.1,69.2,5.93,8.13,65.5
2022,Big Ten,14,Nebraska,32,3,8,0.313,,99.8,107.0,-7.2,26.0,58.6,0.444,7.0,21.9,0.32,0.503,14.3,19.5,0.731,7.3,33.1,12.8,7.2,2.7,12.6,17.4,78.5,3.0,8.25,72.0
2023,Big Ten,1,Purdue,35,8,3,0.829,,112.8,97.4,15.4,25.3,55.3,0.457,6.8,21.2,0.322,0.518,15.3,20.6,0.744,12.3,38.7,15.5,4.7,3.7,11.1,13.7,62.7,18.23,8.31,64.2
2023,Big Ten,2,Indiana,35,5,7,0.657,,109.0,100.1,8.8,28.4,58.4,0.486,5.7,15.5,0.368,0.535,12.2,17.2,0.711,9.2,35.7,15.2,5.8,5.1,11.5,17.1,68.7,14.94,8.88,68.4
2023,Big Ten,3,Northwestern,34,7,4,0.647,,103.5,95.9,7.6,23.6,57.9,0.407,7.6,23.7,0.321,0.473,13.0,17.2,0.757,10.3,34.5,12.8,7.9,3.9,9.6,16.1,62.8,13.68,8.71,65.0
2023,Big Ten,4,Illinois,33,3,7,0.606,,105.7,95.5,10.2,26.5,59.0,0.449,7.6,24.7,0.308,0.514,13.7,20.2,0.679,11.1,37.8,12.4,6.9,5.6,12.9,16.9,67.2,14.81,7.65,69.5
2023,Big Ten,5,Iowa,33,4,7,0.576,,113.7,106.0,7.7,28.5,62.9,0.453,8.0,23.6,0.34,0.517,15.0,20.3,0.738,12.1,36.6,16.4,6.5,3.4,9.8,14.8,74.7,14.08,8.69,69.6
